artist_name,artist_id
薛之谦,5781
陈奕迅,2116
林俊杰,3684
林宥嘉,3685
李荣浩,4292
华晨宇,861777
王以太,12236125
马雨阳,826336
徐秉龙,1197168
毛不易,12138269
艾热,1203045
许嵩,5771
王力宏,5346
张学友,6460
张紫豪,13906123
赵雷,6731
李佳隆,12079219
沈以诚,12002248
王北车,28083340
满舒克,188141
徐梦圆,1142042
张国荣,6457
马良,13609637
胡彦斌,3066
汪苏泷,5538
张杰,6472
周柏豪,6479
杨宗纬,6066
Lil Ghost小鬼,12493781
Jony J,784257
朴树,4721
张震岳,6453
李志,3681
周杰伦,6452
陈硕子,12079044
陈鸿宇,1058228
宋冬野,5073
郭顶,2843
MC Hotdog,4479
许巍,5770
ICE,13145283
白小白,12356407
那吾克热LIL-EM,12514278
G.G(张思源),12050057
伦桑,981141
张敬轩,6462
李克勤,3699
李袁杰,12420149
Tizzy T,1204010
陈小春,2112
董又霖,12054456
尤长靖,13058503
萧忆情Alex,1132127
萧敬腾,5768
陶喆,5196
孟凡明,12270575
潘玮柏,4723
$唐老师,12782871
Wya乌鸦,13527275
陈立农,13056440
大壮,12146142
金志文,166014
邓伦,12440042
情词尧,14857181
张信哲,6454
Ayo97,12287118
简弘亦,5001
蔡徐坤,12932368
功夫胖KungFuPen,12453329
谭咏麟,5205
暗杠,1198010
赵紫骅,1038040
灵超,13056454
张宇,6469
方大同,2738
周兴哲,980025
杨坤,6068
朱星杰,12120150
周传雄,6652
朱正廷,13057513
永彬Ryan.B,12448205
钱正昊,12118230
焦迈奇,12084229
广东雨神,12760978
刘德华,3691
河图,3249
郑锐彬,13057511
李健,3695
西瓜JUN,1115075
周华健,6456
张雪飞,12138252
Pianoboy高至豪,4726
王子异,13058502
吴亦凡,964108
林超泽,13059447
刘昊霖,4171
DP龙猪,12333145
小峰峰,790044
范丞丞,13056442
余佳运,1079074
王以太,12236125
徐秉龙,1197168
毛不易,12138269
艾热,1203045
张紫豪,13906123
李佳隆,12079219
沈以诚,12002248
徐梦圆,1142042
马良,13609637
ICE,13145283
李袁杰,12420149
Tizzy T,1204010
孟凡明,12270575
$唐老师,12782871
Wya乌鸦,13527275
大壮,12146142
情词尧,14857181
Ayo97,12287118
蔡徐坤,12932368
功夫胖KungFuPen,12453329
暗杠,1198010
钱正昊,12118230
焦迈奇,12084229
广东雨神,12760978
张雪飞,12138252
小峰峰,790044
PRC 巴音汗,12464053
BLOWFEVER,12085017
苏天伦,14118614
排骨教主,12083175
Lil.Jet,12079066
栗先达,12027624
Cubi,12276430
杨多,13152025
虎二,12286700
齐一,1159045
刘莱斯,12205361
隔壁老樊,12429072
寅子,28868804
徐真真,12094099
接个吻，开一枪,12085016
前男友,12287780
Gibb-Z,13112541
吕大叶,12606272
刘思鉴,12798217
Al Rocco,12079186
艾福杰尼,12127564
еяхат музыка,13286745
马子林Broma,12798308
Lil-7,12360230
Fi9江澈,12052056
羽肿,12094419
李蚊香,12085569
YKEY,12083570
江辰,12641765
裂天,12050022
JAEFOREAL,12059094
掌嘴,12489984
