,name,href,type,zong_pl,jj,cj_rs,国家,日期,导演名
0,红海行动,http://www.cbooo.cn/m/655823,动作,365078,39,33,中国/中国香港,2018-02-16,林超贤 Dante Lam
1,唐人街探案2,http://www.cbooo.cn/m/663419,喜剧,339769,39,39,中国,2018-02-16,陈思诚 Sicheng Chen
2,我不是药神,http://www.cbooo.cn/m/676313,剧情,309713,35,27,中国,2018-07-05,文牧野 Muye Wen
3,西虹市首富,http://www.cbooo.cn/m/671983,喜剧,254719,35,28,中国,2018-07-27,闫非 Fei Yan
4,复仇者联盟3：无限战争,http://www.cbooo.cn/m/675789,动作,239053,38,19,美国,2018-05-11,安东尼·罗素 Anthony Russo
5,捉妖记2,http://www.cbooo.cn/m/656875,喜剧,223707,38,44,中国香港/中国,2018-02-16,许诚毅 Raman Hui
6,毒液：致命守护者,http://www.cbooo.cn/m/662209,动作,186950,36,17,美国,2018-11-09,鲁本·弗雷斯彻 Ruben Fleischer
7,海王,http://www.cbooo.cn/m/665526,动作,173695,36,18,美国,2018-12-07,温子仁 James Wan
8,侏罗纪世界2,http://www.cbooo.cn/m/667168,动作,169551,36,19,美国,2018-06-15,胡安·安东尼奥·巴亚纳 Juan Antonio Bayona
9,前任3：再见前任,http://www.cbooo.cn/m/663359,喜剧,164667,35,27,中国,2017-12-29,田羽生 Yusheng Tian
10,头号玩家,http://www.cbooo.cn/m/657862,科幻,139666,36,18,美国,2018-03-30,史蒂文·斯皮尔伯格 Steven Spielberg
11,后来的我们,http://www.cbooo.cn/m/663327,爱情,136152,34,21,中国,2018-04-28,刘若英 Rene Liu
12,一出好戏,http://www.cbooo.cn/m/677028,喜剧,135132,35,26,中国,2018-08-10,黄渤 Bo Huang
13,无双,http://www.cbooo.cn/m/678141,动作,127348,36,15,中国/中国香港,2018-09-30,庄文强 Felix Chong
14,碟中谍6：全面瓦解,http://www.cbooo.cn/m/657756,动作,124203,37,15,美国,2018-08-31,克里斯托夫·迈考利 Christopher McQuarrie
15,巨齿鲨,http://www.cbooo.cn/m/644333,动作,104891,38,22,美国,2018-08-10,乔·德特杜巴 Jon Turteltaub
16,狂暴巨兽,http://www.cbooo.cn/m/676242,动作,100395,35,13,美国,2018-04-13,布拉德·佩顿 Brad Peyton
17,超时空同居,http://www.cbooo.cn/m/676391,奇幻,89988,33,12,中国,2018-05-18,苏伦 SuLun
18,蚁人2：黄蜂女现身,http://www.cbooo.cn/m/676247,动作,82927,36,15,美国/英国,2018-08-24,佩顿·里德 Peyton Reed
19,无名之辈,http://www.cbooo.cn/m/678587,剧情,79349,35,12,中国,2018-11-16,饶晓志 Xiaozhi Rao
20,无问西东,http://www.cbooo.cn/m/589946,剧情,75430,31,18,中国,2018-01-12,李芳芳 Fangfang Li
21,神秘巨星,http://www.cbooo.cn/m/670328,剧情,74707,30,17,印度,2018-01-19,阿德瓦·香登 Advait Chandan
22,西游记女儿国,http://www.cbooo.cn/m/644530,喜剧,72738,40,33,中国,2018-02-16,郑保瑞 Pou-Soi Cheang
23,摩天营救,http://www.cbooo.cn/m/662063,动作,66975,35,18,美国,2018-07-20,罗森·马歇尔·瑟伯 Rawson Marshall Thurber
24,黑豹,http://www.cbooo.cn/m/644135,动作,66259,36,17,美国,2018-03-09,瑞恩·库格勒 Ryan Coogler
